r1_collision,r1_near,r1_neighbors,r1_total,r1_path,r2_collision,r2_near,r2_neighbors,r2_total,r2_path
2.942429542541504,0.0015592575073242188,0,2.9469640254974365,3.122062633871005,2.8201723098754883,0.0026183128356933594,0,2.824260950088501,3.3153853031047156
2.816480875015259,0.0034656524658203125,0,2.8215930461883545,3.090892321926521,3.322251319885254,0.0015153884887695312,0,3.3274359703063965,3.3430943470504952
3.034691095352173,0.004095315933227539,0,3.040498971939087,3.126764365562454,2.8367114067077637,0.0012118816375732422,0,2.839357852935791,3.3592532611394628
2.819161891937256,0.0014438629150390625,0,2.8223772048950195,3.299858834990349,3.047459840774536,0.0014331340789794922,0,3.0505621433258057,3.335725248469454
2.6682982444763184,0.0022084712982177734,0,2.6722371578216553,3.044747242954706,3.8859214782714844,0.0010402202606201172,0,3.888247013092041,3.3132624317496444
2.6994357109069824,0.001569986343383789,0,2.7025351524353027,3.139529877970007,3.0557034015655518,0.0022106170654296875,0,3.0595219135284424,3.288859729631867
2.521925926208496,0.0016396045684814453,0,2.5248966217041016,3.124123109962008,2.9996261596679688,0.00139617919921875,0,3.0025992393493652,3.5994824658737192
2.4476797580718994,0.0015141963958740234,0,2.450744152069092,3.1218339656646257,2.844501495361328,0.0013089179992675781,0,2.8473808765411377,3.384092758057626
2.4333553314208984,0.004694700241088867,0,2.4398138523101807,3.102786680867132,2.818901777267456,0.0012612342834472656,0,2.8216190338134766,3.281322292611788
3.189460039138794,0.002040863037109375,0,3.193336009979248,3.1147638137241067,3.175933837890625,0.001477956771850586,0,3.1789281368255615,3.391939409646384
2.8225820064544678,0.0015931129455566406,0,2.829124927520752,3.1066462072904732,3.3095059394836426,0.004084587097167969,0,3.315376043319702,3.2567327916903204
2.907127857208252,0.0012707710266113281,0,2.9099478721618652,3.115910273230715,3.108002185821533,0.002817869186401367,0,3.112856864929199,3.351215179527812
2.445300817489624,0.0014390945434570312,0,2.4513320922851562,3.109915692272966,2.6909806728363037,0.0011096000671386719,0,2.6935060024261475,3.313143051860028
2.298121213912964,0.0010814666748046875,0,2.300513982772827,3.102158887373627,2.3087048530578613,0.0011463165283203125,0,2.3111660480499268,3.3705850320643345
