r1_collision,r1_near,r1_neighbors,r1_total,r1_path,r2_collision,r2_near,r2_neighbors,r2_total,r2_path,r1_build,r1_plan,r2_build,r2_plan
5.841816186904907,,0.009610176086425781,0,0,5.5559351444244385,,0.012535810470581055,0,0,7.086462020874023,0.0006670951843261719,6.745334148406982,0.0005366802215576172
11.252058267593384,,0.04334425926208496,0,0,11.893980026245117,,0.038172245025634766,0,0,13.898360013961792,0.0011360645294189453,14.362637042999268,0.0010020732879638672
18.172118425369263,,0.10147380828857422,0,0,17.854613065719604,,0.09020495414733887,0,0,22.91166400909424,0.0017542839050292969,23.296965837478638,0.0014510154724121094
23.323833227157593,,0.15378308296203613,0,0,25.00951361656189,,0.18582916259765625,0,0,30.565389156341553,0.0021429061889648438,31.61966109275818,0.0021059513092041016
29.474658727645874,,0.25742626190185547,0,0,28.871390342712402,,0.22600483894348145,0,0,36.917444705963135,0.0026760101318359375,36.908169984817505,0.002457141876220703
32.76164793968201,,0.3044250011444092,0,0,33.833860635757446,,0.32267045974731445,0,0,43.92887806892395,0.004867076873779297,44.01824998855591,0.0035381317138671875
38.856226205825806,,0.44202470779418945,0,0,38.40448594093323,,0.4665491580963135,0,0,50.96821308135986,0.0034966468811035156,50.81221914291382,0.0036249160766601562
48.341521978378296,,0.6462485790252686,0,0,47.290706634521484,,0.6119997501373291,0,0,61.77960991859436,0.00421595573425293,59.48946785926819,0.0039691925048828125
50.163116693496704,,0.661517858505249,0,0,50.625308990478516,,0.6944704055786133,0,0,66.20498418807983,0.00433802604675293,66.32392883300781,0.004372835159301758
57.69820690155029,,0.8411791324615479,0,0,58.7339813709259,,0.892120361328125,0,0,74.77836418151855,0.0047838687896728516,77.99296379089355,0.005032062530517578
113.83370327949524,,2.846339702606201,0,0,117.1386833190918,,3.0853161811828613,0,0,149.57660579681396,0.009704828262329102,157.45219779014587,0.010148763656616211
178.1283791065216,,6.224660634994507,0,0,183.36399030685425,,6.356892108917236,0,0,239.26988792419434,0.014472723007202148,240.06158995628357,0.014688968658447266
386.0977702140808,,14.359095573425293,0,0,461.3214101791382,,13.255642414093018,0,0,515.5670719146729,0.021328449249267578,620.1750078201294,0.023955821990966797
659.2649846076965,,23.501895904541016,0,0,272.6649897098541,,13.901306867599487,0,0,880.4912159442902,0.03046131134033203,371.42406034469604,0.030013561248779297
